CITY_NAME,FAC_NAME,PRVDR_NUM,STATE_CD,ST_ADR,PHNE_NUM,ZIP_CD,lat,lng
REDWOOD CITY,KAISER FOUNDATION HOSPITAL REDWOOD CITY LABORATORY,05D0062466,CA,1100 VETERANS BLVD,6502992205,94063,,
SAN FRANCISCO,CALIFORNIA PACIFIC MEDICAL CENTER LABORATORY,05D0062620,CA,"3700 CALIFORNIA STREET, 4TH FLOOR",4157506092,94118,,
SAN FRANCISCO,CHINESE HOSPITAL LABORATORY,05D0062669,CA,845 JACKSON ST,4159822420,94133,,
PALO ALTO,PALO ALTO MEDICAL FOUNDATION CLINICAL LAB,05D0062682,CA,795 EL CAMINO REAL LEE BLDG,6508535659,94301,,
PALO ALTO,LUCILE PACKARD CHILDREN'S HOSPITAL AT,05D0062689,CA,725 WELCH RD,6507239571,94304,,
SAN MATEO,SAN MATEO MEDICAL CENTER LABORATORY,05D0062712,CA,222 W 39TH AVE,6505732441,94403,,
ANTIOCH,SUTTER DELTA MEDICAL CENTER,05D0062749,CA,3901 LONE TREE WAY,9257793092,94509,,
HAYWARD,CALIFORNIA STATE UNIVERSITY EAST BAY STUDENT,05D0062833,CA,25800 CARLOS BEE BLVD,5108853644,94542,,
HAYWARD,KAISER FOUNDATION HOSPITAL HAYWARD LABORATORY,05D0062842,CA,27400 HESPERIAN BLVD,5107844250,94545,,
YOUNTVILLE,VETERANS HOME OF CALIFORNIA-YOUNTVILLE,05D0063018,CA,220 CALIFORNIA DR,7079444717,94599,,
RICHMOND,PERMANENTE MEDICAL GROUP,05D0063123,CA,901 NEVIN AVENUE,5102314708,94801,,
SAN JOSE,KAISER FOUNDATION HOSPITAL SAN JOSE LABORATORY,05D0063339,CA,250 HOSPITAL PKWY,4089727616,95119,,
SAN JOSE,KAISER FOUNDATION HOSPITAL POC LABORATORY,05D0063340,CA,250 HOSPITAL PKWY,4089727276,95119,,
SAN JOSE,O'CONNOR HOSPITAL LABORATORY,05D0063391,CA,2105 FOREST AVE,4089472857,95128,,
VACAVILLE,CALIFORNIA MED FACILITY CLINICAL LAB,05D0063941,CA,1600 CALIFORNIA DRIVE,7074496590,95687,,
DANVILLE,ANDREW S BURGOYNE MD,05D0193932,CA,15 TENNIS CLUB DRIVE,4153678350,94506,,
SAN LEANDRO,DIAGNOSTIC LABORATORIES,05D0549477,CA,10936 BIGGE ST,5107460010,94577,,
SAN CARLOS,PALO ALTO MEDICAL FOUNDATION,05D0590889,CA,57 EL CAMINO REAL,6505913937,94070,,
BELMONT,A K JADALLAH MD,05D0590895,CA,877 RALSTON AVE,4155937643,94002,,
BURLINGAME,PENINSULA DERMATOLOGY MED GRP INC,05D0590965,CA,1750 EL CAMINO REAL STE 206,6506920182,94010,,
BURLINGAME,PHILIP ALPER MD,05D0590979,CA,1838 EL CAMINO REAL,4156970361,94010,,
BURLINGAME,R CAMERON EMMOTT MD,05D0590985,CA,"1720 EL CAMINO REAL, SUITE 210",4156973434,94010,,
BURLINGAME,HARBAND-SUGARMAN OFFICE LAB,05D0590987,CA,1750 EL CAMINO REAL SUITE 202,4156973721,94010,,
