City,Number of facilities,Total Population,Median Age,Average Household Income,Poverty Count,Per Capita Income
ALAMEDA,1,61639.0,39.4,69076.0,7125.0,38185.0
ANTIOCH,7,396655.0,33.857142857142854,63659.857142857145,64258.0,24125.14285714286
BERKELEY,8,98406.0,36.45,67640.375,13042.0,45328.875
BURLINGAME,13,539240.0,41.89999999999999,109775.0,32305.0,74474.0
CAMPBELL,4,180748.0,37.3,87204.0,13368.0,44023.0
CONCORD,12,337401.0,31.5,47313.0,67149.0,21096.0
DALY CITY,3,184773.0,39.6,76978.0,14694.0,30658.0
DUBLIN,1,47384.0,36.1,114812.0,1634.0,42534.0
EMERYVILLE,2,52576.0,36.4,52787.0,8614.0,36714.0
FAIRFIELD,4,178747.0,38.0,83360.25,18035.0,34560.5
FREMONT,33,2087694.0,35.28181818181818,86137.0,136449.0,34746.454545454544
GILROY,3,174738.0,33.4,81037.0,25113.0,29889.0
HAYWARD,9,426121.0,35.833333333333336,64627.555555555555,57442.0,26040.333333333332
HERCULES,1,24454.0,37.4,97269.0,1434.0,36802.0
LARKSPUR,2,13774.0,46.5,97723.0,424.0,78588.0
LOS ALTOS,2,44698.0,46.1,167384.0,978.0,85227.0
LOS GATOS,14,323677.0,44.57142857142856,128457.64285714286,12101.0,68584.85714285714
MARTINEZ,5,240090.0,42.5,75672.0,20745.0,36343.0
MENLO PARK,3,121116.0,39.2,115444.0,7836.0,69074.0
MILLBRAE,1,21867.0,45.4,88451.0,1234.0,42042.0
MOUNTAIN VIEW,35,1096483.0,35.71515151515153,99155.30303030302,94496.0,54704.545454545456
NAPA,6,400944.0,40.6,72286.0,42000.0,35746.0
NEWARK,1,43139.0,37.3,85847.0,3310.0,31056.0
NOVATO,6,108642.0,44.4,83026.0,6054.0,44454.0
OAKLAND,46,1296272.0,37.37826086956523,62674.67391304348,199155.0,42411.217391304344
PALO ALTO,18,194576.0,40.211111111111116,114249.88888888889,11824.0,90027.11111111111
PETALUMA,1,36785.0,40.7,80645.0,3037.0,33411.0
PIEDMONT,1,29978.0,38.8,72848.0,2369.0,57078.0
PINOLE,1,18612.0,42.8,76960.0,1738.0,34647.0
PLEASANT HILL,1,33923.0,42.3,77485.0,3051.0,43827.0
PLEASANTON,1,30949.0,38.5,119849.0,1559.0,49641.0
REDWOOD CITY,22,650708.0,37.67727272727272,90166.95454545454,79240.0,46973.045454545456
RICHMOND,5,179635.0,33.36,45568.6,39369.0,21980.4
SAINT HELENA,3,28614.0,47.29999999999999,83551.0,1668.0,53798.0
SAN FRANCISCO,168,5735728.0,38.711875000000006,82786.225,776863.0,64700.68125
SAN JOSE,30,1114384.0,36.06666666666667,72294.2,150952.0,38940.933333333334
SAN LEANDRO,5,196125.0,34.0,51518.0,32765.0,23200.0
SAN MATEO,10,362595.0,37.85000000000001,79840.8,30905.0,39864.5
SAN PABLO,1,59720.0,33.7,52976.0,10159.0,22112.0
SAN RAFAEL,11,334521.0,46.399999999999984,88646.0,21241.0,48387.0
SAN RAMON,10,349370.0,39.60000000000001,119623.0,9610.0,49034.0
SANTA CLARA,8,409121.0,35.8625,96394.75,30131.0,42366.375
SANTA ROSA,22,803766.0,39.722727272727276,64019.59090909091,88681.0,32915.72727272727
SEBASTOPOL,1,29381.0,50.3,68223.0,2675.0,40149.0
SONOMA,5,194000.0,44.9,58785.0,23510.0,40040.0
SOUTH SAN FRANCISCO,2,130400.0,37.8,77058.0,9126.0,31603.0
UNION CITY,4,282748.0,36.5,82083.0,23620.0,29685.0
VACAVILLE,11,664359.0,38.07272727272727,74650.09090909091,54149.0,29522.81818181818
VALLEJO,8,257609.0,37.025,50724.625,52590.0,21690.875
WALNUT CREEK,24,580779.0,46.19583333333335,105948.33333333333,28393.0,54482.708333333336
