City,Facility Name,Provider Number,State,Address,Phone Number,zip,Latitude,Longitude,Yelp Rating
REDWOOD CITY,KAISER FOUNDATION HOSPITAL REDWOOD CITY LABORATORY,05D0062466,CA,1100 VETERANS BLVD,6502992205,94063,37.4893313,-122.223976,3
SAN FRANCISCO,CHINESE HOSPITAL LABORATORY,05D0062669,CA,845 JACKSON ST,4159822420,94133,37.7955406,-122.4091299,3
PALO ALTO,LUCILE PACKARD CHILDREN'S HOSPITAL AT,05D0062689,CA,725 WELCH RD,6507239571,94304,37.4355499,-122.1746382,3
SAN MATEO,SAN MATEO MEDICAL CENTER LABORATORY,05D0062712,CA,222 W 39TH AVE,6505732441,94403,37.5312245,-122.2991375,2.5
ANTIOCH,SUTTER DELTA MEDICAL CENTER,05D0062749,CA,3901 LONE TREE WAY,9257793092,94509,37.9825348,-121.8029078,2
RICHMOND,PERMANENTE MEDICAL GROUP,05D0063123,CA,901 NEVIN AVENUE,5102314708,94801,37.9371877,-122.3605559,3
SAN JOSE,O'CONNOR HOSPITAL LABORATORY,05D0063391,CA,2105 FOREST AVE,4089472857,95128,37.3277552,-121.9383789,2
BURLINGAME,BURLINGAME PACIFICA MEDICAL GROUP INC,05D0591044,CA,1828 EL CAMINO REAL STE 507,6506974195,94010,37.5955932,-122.3836283,3
BURLINGAME,MILLS-PENINSULA HEALTH SERVICES,05D0591083,CA,1501 TROUSDALE DRIVE,6506965510,94010,37.5921025,-122.3833423,3
DALY CITY,FAMILY MEDICAL GROUP,05D0591268,CA,1800 SULLIVAN AVE 209,6509942300,94015,37.6807129,-122.4747197,2.5
MOUNTAIN VIEW,"ADVANCED CARDIOVASCULAR SPECIALISTS, INC",05D0591473,CA,2490 HOSPITAL DR STE 311,6509624690,94039,37.3697973,-122.0823749,3
MENLO PARK,MENLO PARK PLACE,05D0591605,CA,1275 CRANE ST,4153227261,94025,37.4521635,-122.1880412,3.5
MOUNTAIN VIEW,WOMEN IN FOCUS MEDICAL GROUP INC,05D0591803,CA,2204 GRANT RD STE 202,6509659155,94040,37.3719269,-122.0785578,3
MOUNTAIN VIEW,EL CAMINO INTERNAL MEDICAL GROUP LAB,05D0591859,CA,125 SOUTH DR,4159616600,94040,37.3669385,-122.0790491,3
MOUNTAIN VIEW,"ADVANCED CARDIOVASCULAR SPECIALISTS, INC",05D0591915,CA,2660 GRANT ROAD,6509698600,94040,37.3665226,-122.0784874,3
MOUNTAIN VIEW,PRENATAL DIAGNOSTICS INC,05D0591919,CA,1580 EL CAMINO REAL W,4159668597,94040,37.3901782,-122.0921417,3
REDWOOD CITY,FAIR OAKS FAMILY HEALTH,05D0592225,CA,2710 MIDDLEFIELD ROAD,4155732646,94063,37.4756905,-122.2117612,3
SAN FRANCISCO,MISSION BAY CONVALESCENT HOSPITAL,05D0593205,CA,331 PENNSYLVANIA AVENUE,4156473587,94107,37.7622131,-122.3933208,2.5
SAN FRANCISCO,DOWNTOWN MEDICAL GROUP,05D0593479,CA,450 SUTTER STREET SUITE 1723,4153627177,94108,37.7896952,-122.4078356,3
SAN FRANCISCO,PLANNED PARENTHOOD,05D0593770,CA,815 EDDY ST SUITE 300,4154417858,94109,37.7825273,-122.4214636,5
SAN FRANCISCO,SAINT FRANCIS MEMORIAL HOSPITAL LAB,05D0593789,CA,900 HYDE STREET 1ST FLOOR,4153536333,94109,37.7893799,-122.4167294,3
SAN FRANCISCO,ST LUKE'S HEALTH CARE CENTER- ADULT CLINIC,05D0593890,CA,1580 VALENCIA STREET #506,4156416913,94110,37.7467497,-122.4205566,3
SAN FRANCISCO,UROLOGY CENTER OF SAN FRANCISCO,05D0593923,CA,1580 VALENCIA #708,4158261415,94110,37.7467497,-122.4205566,3
SAN FRANCISCO,OCCUPATIONAL HEALTH NETWORK,05D0593978,CA,650 5TH STREET SUITE 101,4159745157,94107,37.775591,-122.3980118,3
SAN FRANCISCO,LYON-MARTIN HEALTH SERVICES,05D0593987,CA,1735 MISSION ST,4155657667,94103,37.7695257,-122.4197247,3.5
SAN FRANCISCO,MISSION NEIGHBORHOOD HEALTH CENTER,05D0593994,CA,240 SHOTWELL ST,4155521013,94110,37.7645735,-122.4165676,3
SAN FRANCISCO,ACCESS HEALTH CARE,05D0594245,CA,DAVIES MEDICAL CENTER SUITE 170,4156566600,94114,37.7683574,-122.4345272,3.5
SAN FRANCISCO,SAN FRANCISCO MEDICAL GROUP,05D0594402,CA,2340 CLAY ST 6TH FLOOR,4158858100,94115,37.791364,-122.431998,3
SAN FRANCISCO,DIAGNOSTIC LABORATORIES,05D0594668,CA,2511 BUSH ST,4159291525,94115,37.786063,-122.439014,3
SAN FRANCISCO,CENTRAL GARDENS CONVALESCENT HOSPITAL,05D0594677,CA,1355 ELLIS STREET,4155672967,94115,37.7826303,-122.4286309,3
SAN FRANCISCO,CHOICE MEDICAL GROUP,05D0594679,CA,2107 O FARRELL STREET,4089950102,94115,37.7822767,-122.439699,3.5
SAN FRANCISCO,PACIFIC COAST HOSPITAL,05D0594725,CA,1210 SCOTT STREET,4152920446,94115,37.780905,-122.437303,3
SAN FRANCISCO,WELLNESS CARE MEDICAL GROUP,05D0595026,CA,416 16TH AVENUE,4152210177,94118,37.7801459,-122.4748302,3
SAN FRANCISCO,SUTTER PACIFIC MEDICAL FOUNDATION,05D0595420,CA,3625 CALIFORNIA ST,4156004264,94118,37.7860964,-122.453823,3.5
SAN FRANCISCO,UCSF POINT OF CARE TESTING LABORATORY-OUT PATIENT,05D0596167,CA,"400 PARNASSUS AVENUE, BOX 0310",4155148447,94122,37.7645542,-122.4572508,3
PALO ALTO,"PALO ALTO MEDICAL FOUNDATION FOR HEALTH CARE,",05D0596327,CA,540 UNIVERSITY AVE STE 200,6503221900,94301,37.4487369,-122.1584394,3.5
BURLINGAME,PALO ALTO MEDICAL FOUNDATION,05D0596768,CA,"1501 TROUSDALE, 2ND FLOOR",6506528600,94010,37.5921025,-122.3833423,3
BURLINGAME,PALO ALTO MEDICAL FOUNDATION,05D0596979,CA,1501 TROUSDALE DR 5TH FL,6506520600,94010,37.5921025,-122.3833423,3
ANTIOCH,SUTTER EAST BAY MEDICAL FOUNDATION,05D0597423,CA,4053 LONE TREE WAY STE 101,5102045417,94531,37.9765207,-121.7995393,2
ANTIOCH,ANTIOCH MEDICAL PARK MED,05D0597463,CA,3737 LONE TREE WAY,9257545151,94509,37.9836614,-121.8049235,2
ANTIOCH,SUTTER DELTA MEDICAL CENTER,05D0597478,CA,3901 LONE TREE WAY,9257793011,94509,37.9825348,-121.8029078,2
CONCORD,JOHN MUIR MEDICAL GROUP,05D0597807,CA,"2700 GRANT STREET, SUITE 200",9256770500,94520,37.9846043,-122.0361099,3
CONCORD,JOHN MUIR HEALTH - CONCORD MEDICAL CENTER -,05D0597853,CA,2540 EAST ST PO BOX 4110,9259417966,94520,37.9827647,-122.0333245,3
CONCORD,DOCTOR'S CLINIC,05D0597906,CA,2550 PARK AVE SUITE 6,5106765611,94520,37.984193,-122.0336954,3
FAIRFIELD,SUTTER REGIONAL MEDICAL FOUNDATION,05D0598424,CA,2720 LOW COURT,7074274900,94534,38.2367966,-122.0860462,2.5
FREMONT,TRI-CITY HEALTH CENTER,05D0598576,CA,38355 LOGAN DR,5107136670,94536,37.5465689,-122.0013819,2
FREMONT,CHOICE MEDICAL GROUP,05D0598720,CA,1895 MOWRY AVE STE 116,4089950102,94538,37.5592996,-121.9802803,4.5
FREMONT,PALO ALTO MEDICAL FOUNDATION - FREMONT MAIN LAB,05D0598778,CA,3200 KEARNEY ST,5104982862,94538,37.5485656,-121.9736051,2
FREMONT,WASHINGTON MEDICAL GROUP,05D0598795,CA,2557 MOWRY AVENUE SUITE 12,5107921672,94538,37.5557213,-121.9830791,4.5
FREMONT,FREMONT SURGERY CENTER,05D0598799,CA,39350 CIVIC CENTER DR STE 100,5104564600,94538,37.5542623,-121.9755663,4.5
FREMONT,WASHINGTON INTERNAL MEDICAL GROUP LAB,05D0598810,CA,2557 MOWRY AVE SUITE 12,,94538,37.5557213,-121.9830791,2
FREMONT,WASHINGTON BIRTHING CENTER,05D0598811,CA,2299 MOWRY AVE SUITE 2C1,5107932229,94538,37.5568972,-121.9821225,3.5
FREMONT,WASHINGTON HOSPITAL HEALTHCARE,05D0598812,CA,2000 MOWRY AVE,5107973440,94538,37.55726,-121.9797604,2
HAYWARD,HAYWARD CONVALESCENT HOSPITAL,05D0598975,CA,1832 B ST,5105383866,94541,37.6825729,-122.0675431,1
